034F,cgj,COMBINING GRAPHEME JOINER
03A9,Omegagreek,GREEK CAPITAL LETTER OMEGA
200B,zwsp,ZERO WIDTH SPACE
200C,zwnj,ZERO WIDTH NON-JOINER
200D,zwj,ZERO WIDTH JOINER
2011,nbhyphen,NON-BREAKING HYPHEN
202F,nnbspace,NARROW NO-BREAK SPACE
2060,wj,WORD JOINER
207B,hyphensuperior,SUPERSCRIPT MINUS
20A8,rs,RUPEE SIGN
20B9,inr,INDIAN RUPEE SIGN
2308,ceilingleft,LEFT CEILING
2309,ceilingright,RIGHT CEILING
230A,floorleft,LEFT FLOOR
230B,floorright,RIGHT FLOOR
231C,cornertopleft,TOP LEFT CORNER
231D,cornertopright,TOP RIGHT CORNER
231E,cornerbottomleft,BOTTOM LEFT CORNER
231F,cornerbottomright,BOTTOM RIGHT CORNER
2423,openbox,OPEN BOX
25CC,dottedcircle,DOTTED CIRCLE
2E22,brackethalftopleft,TOP LEFT HALF BRACKET
2E23,brackethalftopright,TOP RIGHT HALF BRACKET
2E24,brackethalfbottomleft,BOTTOM LEFT HALF BRACKET
2E25,brackethalfbottomright,BOTTOM RIGHT HALF BRACKET
FEFF,zwnbsp,ZERO WIDTH NO-BREAK SPACE
